mjd,filter,mag,magerr,sn
58689.35472,rp,18.46178125,0.036708044,29.61362229
58689.35658,gp,18.49764463,0.043963783,24.73286606
58689.36352,rp,18.42987908,0.056897976,19.10475893
58689.36539,gp,18.44671314,0.02980719,36.49480098
58689.36724,rp,18.50101975,0.032594232,33.35148522
58689.3691,gp,18.45340608,0.019051092,57.16730564
58689.37096,rp,18.45624775,0.022175718,49.0236459
58689.37282,gp,18.44692018,0.016602843,65.64954273
58690.37799,rp,18.46915273,0.048493155,22.41607711
58690.37984,gp,18.48361022,0.035462644,30.67047001
58690.38171,rp,18.4626062,0.039502514,27.51834878
58690.38357,gp,18.5016537,0.027878991,39.02492228
58690.38543,rp,18.43975298,0.026437666,41.11893889
58690.38731,gp,18.48456326,0.023309933,46.69915427
58691.35157,rp,18.47860471,0.019562607,55.57373418
58691.35347,gp,18.49073645,0.016347467,66.66859916
58691.35535,rp,18.49131009,0.020864591,52.10689835
58691.35727,gp,18.46584068,0.020164709,53.98296387
58691.35916,rp,18.39911622,0.026053535,41.7238596
58691.36104,gp,18.44047019,0.018275135,59.59901444
58691.37335,rp,18.45803083,0.023886322,45.50876181
58691.37524,gp,18.46286053,0.01640262,66.42033717
58691.37711,rp,18.44043714,0.03510201,30.96933738
58691.37896,gp,18.39848527,0.028686028,37.92711167
58691.38083,rp,18.45632922,0.03988894,27.25166944
58691.3827,gp,18.44306064,0.023369842,46.57315978
58693.40662,rp,18.5000996,0.026879971,40.44043517
58693.40852,gp,18.48047413,0.014382768,75.90993034
58693.41039,rp,18.43940514,0.02419877,44.92427205
58693.41225,gp,18.42787168,0.022428239,48.50695477
58693.41412,rp,18.46113765,0.053623143,20.27118278
58700.42232,gp,18.43634683,0.014912809,73.1159037
58700.42486,rp,18.45394463,0.01703643,63.82888065
58701.33846,gp,18.47092249,0.012572787,86.81774495
58701.34102,rp,18.49325595,0.015944475,68.19406102
58702.33381,gp,18.45288171,0.015756315,69.1079751
58702.33641,rp,18.40356599,0.015778963,68.9210918
58703.39978,gp,18.46566232,0.009687404,113.1491563
58703.40233,rp,18.41565604,0.011904378,91.33816951
58704.37449,gp,18.47579835,0.012651105,86.25509917
58704.37703,rp,18.48466185,0.015365209,70.76703359
58705.35314,gp,18.44540139,0.011566341,94.35921965
58705.35572,rp,18.44925633,0.01519017,71.58985037
58706.32215,gp,18.45818735,0.02564301,42.43555487
58706.32472,rp,18.46234096,0.021323059,50.9868376
58707.32475,gp,18.52622317,0.030683211,35.45503084
58707.32729,rp,18.45590702,0.02865475,37.93635569
58708.31671,gp,18.46823934,0.020979762,51.89207394
58708.31928,rp,18.46129895,0.019838746,54.80207867
58709.4564,gp,18.43085907,0.021680096,50.23582231
58709.45897,rp,18.44368441,0.022436123,48.45114354
58710.35504,gp,18.42939672,0.033061653,32.89197211
58710.36055,gp,18.4814754,0.062668923,17.349175
58710.36313,rp,18.40292326,0.059667826,18.21764393
58710.37035,gp,18.45207729,0.06325883,17.18820731
58710.37291,rp,18.4723783,0.066166337,16.42835587
58711.31139,gp,18.49589191,0.044472383,24.44945479
58711.31394,rp,18.51924599,0.0416557,26.09592667
58715.29772,gp,18.43804311,0.032225798,33.74932487
58715.30028,rp,18.47497518,0.029998472,36.23905024
58717.31477,gp,18.42270848,0.016665748,65.42092859
58717.31734,rp,18.39228495,0.020340964,53.44491373
58718.37659,gp,18.64197703,0.145335525,7.479523845
58718.37915,rp,18.50253867,0.134184838,8.10077864
58720.30265,gp,18.49859492,0.014293185,76.37750781
58720.30522,rp,18.44513183,0.017328715,62.73980752
58721.28127,gp,18.48257865,0.012896858,84.61128965
58721.28384,rp,18.46408672,0.01522079,71.43848357
58722.28132,gp,18.49206841,0.013898354,78.53696901
58722.28388,rp,18.50011986,0.017000733,63.95113175
58724.27301,gp,18.40153386,0.078872333,13.78307117
58724.27557,rp,18.6562842,0.139033635,7.818289435
58725.34786,gp,18.39643153,0.078525008,13.84449967
58725.3504,rp,18.55732281,0.083368679,13.03853744
58726.35825,gp,18.45652049,0.012555364,87.03518103
58726.36083,rp,18.4645277,0.015270574,71.19689512
58727.37552,gp,18.50434244,0.012391036,88.15981435
58727.37808,rp,18.44280467,0.014381233,75.60171287
58729.36844,gp,18.46687839,0.011613338,94.07396159
58729.371,rp,18.42745841,0.013675204,79.51760616
