mjd,bjd,mag,magerr,filter,sn,site_id,fwhm,Nbin
59452.18187430556,2459452.684056132,18.43997267230809,0.0514939768012091,gp,21.10926659265693,tfn,,
59454.1443903588,2459454.646713353,18.42782203311541,0.030384435473494703,gp,35.74198378467001,tfn,2.2724868651444567,3.0
59454.14953482639,2459454.651858187,18.5069097991042,0.0378321034333289,rp,28.70577899306725,tfn,2.490999551457674,3.0
59458.46569774692,2459458.9683255865,18.398581632546318,0.015267080921505,gp,71.13344100182736,elp,1.8668538621964765,3.0
59458.47085938271,2459458.973487579,18.437116726536356,0.018010839101034303,rp,60.297024136850716,elp,2.8253631834873087,3.0
59460.448476429396,2459460.9512409046,18.39435348072536,0.01675090079842335,gp,64.83233427674635,elp,2.0517699297120453,2.0
59460.45276569445,2459460.9555304614,18.486192333253378,0.0206919128158441,rp,52.48427294592281,elp,2.1240812626297623,3.0
59461.402346118826,2459461.9051755457,18.413138622964425,0.013150592945780934,gp,82.58182763906613,elp,1.80047740550826,3.0
59461.40748841435,2459461.9103181898,18.461381330952666,0.0161374404490983,rp,67.29691758897748,elp,2.1808260081232476,3.0
59462.33131533565,2459462.834207475,18.35174103143354,0.015476532517133214,gp,70.17075684089762,elp,2.121283306851022,6.0
59462.33646857253,2459462.839361061,18.44686620055402,0.01939233169648785,rp,56.001517352175135,elp,2.630612945720741,6.0
59464.30948222801,2459464.8125061216,18.39315272827046,0.014736489548359334,gp,73.69462017641158,tfn,2.0496081160860604,6.0
59464.314609978785,2459464.8176342086,18.489129029443117,0.020516946659592986,rp,52.931852776067224,tfn,2.562587985324094,6.0
59465.22130889918,2459465.7243926846,18.404056443205793,0.014859387260370853,gp,73.08511319953958,tfn,2.0328425603951628,9.0
59465.22647570601,2459465.7295598285,18.474529813834586,0.021023980938591244,rp,51.65529797482635,tfn,2.5883530489087807,9.0
59466.28361518326,2459466.786768108,18.387117391168346,0.015368031185393217,gp,70.6661762264125,tfn,2.145774566021769,6.0
59466.28876026813,2459466.791913524,18.471371770609856,0.020000184525425416,rp,54.29949901809219,tfn,2.840615332356585,6.0
59467.42578333719,2459467.9290097826,18.439868410678777,0.013926920294378335,gp,77.97847456902363,elp,2.0743589379184195,3.0
59467.430914448305,2459467.9341412205,18.50527115585793,0.0175169858192082,rp,61.99696746966307,elp,2.856621162748853,3.0
59468.16170283951,2459468.6649759295,18.43140727128091,0.0162355029580678,gp,66.89044391201575,tfn,1.9000829658466236,3.0
59468.166845679014,2459468.670119092,18.550749104060458,0.028458745577720563,rp,38.16050138380641,tfn,2.5043583718467954,3.0
59470.53996985597,2459471.0433915392,18.59163381083615,0.02508584399110035,gp,43.29134791658905,tfn,3.001186881524015,9.0
59470.54516099922,2459471.048583001,18.722814127180236,0.03506937943600188,rp,30.96718611693263,tfn,2.6304100844378175,9.0
59471.40244955247,2459471.905924213,18.578458689671887,0.01573521016714467,gp,69.01719064849752,elp,2.1402146007664804,3.0
59471.4076011034,2459471.911076077,18.563434296096126,0.018479998491044834,rp,58.766238564698014,elp,3.0415856324379917,3.0
59472.52658467592,2459473.030127128,18.474578335819093,0.028631139096835283,gp,37.93072976687959,tfn,2.81420019057642,9.0
59472.53173610339,2459473.0352788633,18.591346097813798,0.032284542124856916,rp,33.63838941249389,tfn,2.848400123788605,9.0
59473.31816997492,2459473.821759812,18.466571885951232,0.023253236532586447,gp,46.70317607091424,elp,1.94517900363802,6.0
59473.323319743446,2459473.8269098867,18.53732046239045,0.026024331199627427,rp,41.73017902629319,elp,2.363043680143558,6.0
59474.544219339,2459475.0478812624,18.509238009194515,0.035573326374460965,gp,30.528491729119498,elp,2.5791694126656943,9.0
59474.54937784336,2459475.053040069,18.555382062688917,0.036598984039838175,rp,29.67295482349684,elp,2.6027570815704117,9.0
59475.326632598386,2459475.8303399957,18.51626782469595,0.04067535200791385,gp,26.699215775408817,elp,2.57900466934923,6.0
59475.331783269685,2459475.835490965,18.572572187360784,0.037458319205726905,rp,28.99222450520322,elp,2.3541641070613912,6.0
59476.3833036214,2459476.8870712765,18.47798419845202,0.03383036212798943,gp,32.10134127123345,tfn,2.1841197882120587,9.0
59476.388456511064,2459476.8922244585,18.52490126920854,0.03470785390300178,rp,31.289747935295853,tfn,2.408607578817731,9.0
59477.30867756945,2459477.812497598,18.453191901184262,0.04722379503611582,gp,22.99688110981866,elp,1.8526795761264572,6.0
59477.36028759838,2459477.8641105257,18.477470199993498,0.038304300319901854,rp,28.351908034611576,elp,1.9700826393962925,4.0
59478.15246909722,2459478.656335874,18.371476099176714,0.036218410194453765,gp,29.98475068809902,tfn,2.240135626268337,3.0
59478.15768294752,2459478.661550008,18.527762315648754,0.037641349295906935,rp,28.851250561256848,tfn,2.4520153873731565,3.0
59479.53277098637,2459480.036713208,18.55612680474256,0.08705931928748073,rp,12.474253289459945,elp,2.977918928776643,9.0
59479.563630649805,2459480.06757451,18.429226545256547,0.0613777967348885,gp,17.693694752367897,elp,2.5051868150434764,7.0
59480.25694491126,2459480.7609260543,18.482682573020263,0.053132173649977334,gp,20.439592913219037,elp,1.9459132980386527,3.0
59480.262095354934,2459480.7660767743,18.51121301431871,0.047465007625971535,rp,22.880013178503546,elp,2.466879886544246,3.0
59481.54693701196,2459482.050985905,18.452482377070876,0.035497260236960065,gp,30.59391042436698,tfn,2.156147018962596,6.0
