,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
63,775104100001769,61341233,2458367.9146713736,58367.412338,18.4127121,0.0340766385,0,zg,24.776477,52.760294,0.456,-0.0120000001,20180906412303,775,0x4,0x1,21.7999992,26.3231068,0.0165242329,-0.0863658413,6.14344117e-06,30,1.08599997,1
64,775104100001769,61441543,2458368.9178398363,58368.4154398,18.4792366,0.0352663584,0,zg,24.7764525,52.7602957,0.412,0.0489999987,20180907415405,775,0x4,0x1,21.7600002,26.2940102,0.0165435486,-0.048262801,6.01284501e-06,30,1.08299994,1
65,775104100001769,61544731,2458369.9497827343,58369.4473148,18.4502525,0.034739431,0,zg,24.776461,52.7602911,0.912,-0.0480000004,20180908447280,775,0x4,0x1,21.5200005,26.3366032,0.0165297501,-0.111221313,6.24633594e-06,30,1.07599998,1
66,775104100001769,61638172,2458370.8842533035,58370.3817245,18.485733,0.0353863277,0,zg,24.7764752,52.7602896,0.819000006,-0.0549999997,20180909381701,775,0x4,0x1,21.7399998,26.338644,0.0162566658,-0.0898795202,5.9671811e-06,30,1.10800004,1
67,775104100001769,61738849,2458371.8910891227,58371.3884954,18.4682693,0.0350653864,0,zg,24.7764591,52.7603139,1.01400006,-0.0260000005,20180910388426,775,0x4,0x1,21.6900005,26.3431015,0.0161106642,-0.0762464553,5.8076298e-06,30,1.097,1
68,775104100001769,61842322,2458372.9258889006,58372.4232292,18.5327663,0.0362755097,0,zg,24.7764752,52.7603055,1.27499998,-0.0689999983,20180911423229,775,0x4,0x1,21.7399998,26.3585529,0.0160115883,-0.0965501592,5.76278762e-06,30,1.07599998,1
69,775104100001769,61939995,2458373.9026749628,58373.3999537,18.4636478,0.0349812955,0,zg,24.7764812,52.7603133,0.787999988,-0.0410000011,20180912399931,775,0x4,0x1,21.5699997,26.3432255,0.0160124525,-0.0968730301,5.71723058e-06,30,1.08399999,1
70,775104100001769,62042465,2458374.9274378857,58374.4246528,18.4326611,0.0344261006,0,zg,24.7764714,52.7603047,0.834999979,0.00899999961,20180913424641,775,0x4,0x1,21.7000008,26.3636608,0.017083345,-0.100540966,6.4431415e-06,30,1.07500005,1
71,775104100001769,62145825,2458375.961100943,58375.4582523,18.4425716,0.0346020311,0,zg,24.776481,52.7602969,0.976999998,-0.0350000001,20180914458252,775,0x4,0x1,21.8500004,26.3208656,0.0162202716,-0.0650334954,5.93852792e-06,30,1.09000003,1
72,775104100001769,62245148,2458376.954390432,58376.4514815,18.454689,0.0348192044,0,zg,24.776477,52.7603224,0.986000001,-0.0170000009,20180915451447,775,0x4,0x1,21.6200008,26.364893,0.0172752365,-0.117748953,6.74382545e-06,30,1.08700001,1
73,775104100001769,62336351,2458377.8664820967,58377.3635185,18.5234089,0.0360956863,0,zg,24.7764499,52.7603263,1.10699999,-0.0390000008,20180916363391,775,0x4,0x1,21.4899998,26.3496361,0.0173292998,-0.123730391,6.68296843e-06,30,1.10699999,1
74,775104100001769,62445627,2458378.9593012966,58378.4562731,18.4595852,0.034907639,0,zg,24.7764613,52.760302,0.903999984,-0.0390000008,20180917456238,775,0x4,0x1,21.5300007,26.3397121,0.0156288445,-0.0864494145,5.55731185e-06,30,1.09599996,1
75,775104100001769,62545159,2458379.9546833667,58379.4515972,18.437521,0.0345121808,0,zg,24.7764977,52.7603171,0.953999996,-0.0680000037,20180918451562,775,0x4,0x1,21.5599995,26.3584785,0.0162278581,-0.104897335,6.04867046e-06,30,1.09399998,1
76,775104100001769,62845003,2458382.9532903386,58382.4500347,18.4498997,0.034733098,0,zg,24.7764669,52.7602694,0.875,-0.0439999998,20180921450000,775,0x4,0x1,21.5400009,26.3217831,0.015421005,-0.0862740278,5.44484283e-06,30,1.10000002,1
77,775104100001769,62945327,2458383.9565860503,58383.4532755,18.4226856,0.0342505798,0,zg,24.7764797,52.7602814,0.802999973,-0.0780000016,20180922453264,775,0x4,0x1,21.1499996,26.2785091,0.0182428211,-0.0666105375,7.53552422e-06,30,1.10699999,1
78,775104100001769,63046317,2458384.9665361927,58384.4631713,18.436348,0.0344913714,32768,zg,24.77648,52.7602926,0.883000016,-0.0829999968,20180923463044,775,0x4,0x1,20.5100002,26.2055473,0.0298129749,-0.0666033998,2.01335461e-05,30,1.12399995,1
79,775104100001769,63145128,2458385.954701851,58385.4512847,18.446516,0.0346724577,0,zg,24.7764943,52.7602946,1.21300006,-0.152999997,20180924451250,775,0x4,0x1,20.3500004,26.2741165,0.0227938946,-0.0448562168,1.18404041e-05,30,1.11099994,1
80,775104100001769,63249099,2458386.99446652,58386.4909954,18.3098698,0.0323698036,0,zg,24.7764088,52.7603152,0.545000017,0.0489999987,20180925490984,775,0x4,0x1,19.8299999,26.2842827,0.0282723326,-0.0623118095,1.82525055e-05,30,1.19099998,1
81,775104100001769,63328038,2458387.78389332,58387.2803819,18.4500751,0.0347362421,0,zg,24.7764491,52.7602807,0.716000021,0.0500000007,20180926280382,775,0x4,0x1,20.2999992,26.2785358,0.0227144472,-0.047906179,1.16767305e-05,30,1.21700001,1
82,775104100001769,63439990,2458388.903474946,58388.3999074,18.4637203,0.0349825919,0,zg,24.7764574,52.7602711,0.528999984,-0.0,20180927399907,775,0x4,0x1,20.3799992,26.3228645,0.0219978653,-0.0734430999,1.08513404e-05,30,1.07700002,1
83,775104100001769,63538038,2458389.8839975637,58389.3803819,18.4985142,0.0356243588,0,zg,24.776471,52.7602632,1.125,-0.00400000019,20180928380266,775,0x4,0x1,20.5400009,26.3435402,0.0209866557,-0.108719073,9.9504914e-06,30,1.07599998,1
84,775104100001769,63632165,2458390.8253160403,58390.3216551,18.4463654,0.0346697718,0,zg,24.776437,52.7602693,0.721000016,-0.0460000001,20180929321597,775,0x4,0x1,20.6700001,26.3321495,0.0197160263,-0.0931687132,8.60145155e-06,30,1.11500001,1
85,775104100001769,64335396,2458397.8579397057,58397.3539699,18.4831142,0.035337884,0,zg,24.7764888,52.760273,0.940999985,-0.0390000008,20181006353958,775,0x4,0x1,21.6000004,26.3141022,0.0165808555,-0.113363869,6.16381521e-06,30,1.07599998,1
86,775104100001769,67019366,2458424.698274871,58424.193669,18.5352097,0.0363227203,32768,zg,24.7763232,52.7602619,0.273999989,-0.0140000004,20181102193669,775,0x4,0x1,19.3400002,25.3858433,0.0461788848,-0.131661177,5.13942832e-05,30,1.17400002,1
87,775104100001769,67133687,2458425.841487312,58425.336875,18.4581833,0.0348822847,0,zg,24.7764916,52.7602626,0.782999992,-0.0469999984,20181103336863,775,0x4,0x1,21.3600006,26.2965641,0.0162231661,-0.107357457,6.07287348e-06,30,1.09800005,1
88,775104100001769,67232005,2458426.824674336,58426.3200579,18.4861012,0.0353931487,32768,zg,24.7764974,52.760283,0.619000018,0.0179999992,20181104320000,775,0x4,0x1,20.9699993,26.2069817,0.0206913874,-0.136902794,9.86274335e-06,30,1.08399999,1
89,775104100001769,67329427,2458427.798890036,58427.2942708,18.4895363,0.035456866,0,zg,24.7766722,52.7602851,0.575999975,0.0610000007,20181105294248,775,0x4,0x1,19.7399998,25.9219131,0.0354842506,-0.116305672,2.94531328e-05,30,1.07000005,1
90,775104100001769,67422376,2458428.728382296,58428.2237616,18.4395981,0.0345490761,0,zg,24.7764555,52.7602816,0.556999981,-0.0170000009,20181106223715,775,0x4,0x1,21.3400002,26.3643627,0.0177683569,-0.115957633,7.24621395e-06,30,1.10099995,1
91,775104100001769,67524064,2458429.74526906,58429.2406481,18.4612045,0.0349369571,0,zg,24.7764449,52.7602852,1.42999995,-0.0839999989,20181107240648,775,0x4,0x1,21.7399998,26.3482971,0.0155264651,-0.0979684591,5.61921297e-06,30,1.08099997,1
92,775104100001769,67625799,2458430.7626175173,58430.2579977,18.4361172,0.0344872698,32768,zg,24.7764442,52.7602752,0.941999972,-0.0140000004,20181108257998,775,0x4,0x1,21.5699997,26.3694878,0.0156074818,-0.125462666,5.62491869e-06,30,1.07000005,1
93,775104100001769,67724719,2458431.7518164525,58431.2471991,18.4318104,0.0344110653,0,zg,24.7765398,52.7603546,1.41299999,0.0949999988,20181109247188,775,0x4,0x1,20.2199993,26.2726727,0.0266155321,-0.0434109867,1.59460978e-05,30,1.07299995,1
94,775104100001769,67823583,2458432.7404468646,58432.2358333,18.4168797,0.0341491364,0,zg,24.7764383,52.7602853,0.672999978,0.0410000011,20181110235822,775,0x4,0x1,21.3400002,26.3323212,0.0161745492,-0.0933477581,5.7536563e-06,30,1.079,1
95,775104100001769,68026137,2458434.7659789585,58434.2613773,18.5473518,0.0365587994,0,zg,24.7764364,52.7602737,0.596000016,0.0109999999,20181112261366,775,0x4,0x1,20.4699993,26.3104992,0.0224887282,-0.054244902,1.12178041e-05,30,1.06799996,1
96,775104100001769,68122527,2458435.7298718346,58435.2252778,18.5052242,0.0357503705,0,zg,24.7764537,52.7603602,1.12,0.0390000008,20181113225243,775,0x4,0x1,20.4200001,26.3079243,0.0231353585,-0.0553401597,1.18060379e-05,30,1.08000004,1
97,775104100001769,68223711,2458436.741702792,58436.2371181,18.5272331,0.0361690074,0,zg,24.7764724,52.7602739,0.386000007,-0.00400000019,20181114237106,775,0x4,0x1,20.6299992,26.2852306,0.0209542364,-0.0567537807,9.75558578e-06,30,1.07200003,1
98,775104100001769,68324136,2458437.7459397465,58437.2413657,18.641037,0.0384665839,0,zg,24.7764502,52.7602962,0.596000016,0.0120000001,20181115241331,775,0x4,0x1,21.1100006,26.3357124,0.0174425282,-0.0668989792,6.72415308e-06,30,1.07000005,1
99,775104100001769,68921454,2458443.719031461,58443.2145486,18.6895542,0.0395171717,0,zg,24.77643,52.7602967,0.574000001,-0.0989999995,20181121214525,775,0x4,0x1,20.1700001,26.2989445,0.0232710484,-0.0540000014,1.21755584e-05,30,1.07299995,1
100,775104100001769,69625931,2458450.7636321834,58450.2593171,18.4278831,0.0343418382,32768,zg,24.7764925,52.760326,1.35300004,-0.144999996,20181128259317,775,0x4,0x1,19.6000004,25.5071831,0.0339192301,-0.0558337383,2.53380567e-05,30,1.08800006,1
101,775104100001769,70313732,2458457.6414166493,58457.1373264,18.5264282,0.0361535586,32768,zg,24.7761042,52.7603312,1.39400005,0.635999978,20181205137326,775,0x4,0x1,19.5699997,26.4003658,0.0392759666,-0.124496691,3.98280317e-05,30,1.11000001,1
102,775104100001769,70827089,2458462.7747759866,58462.2708912,18.4624023,0.034958683,32768,zg,24.7764238,52.7602861,0.925999999,-0.00600000005,20181210270845,775,0x4,0x1,20.4400005,25.9686623,0.0249653589,-0.147533342,1.43435072e-05,30,1.15600002,1
